Date,Open,High,Low,Close
02/22/1982,"111.59","114.90","111.20","111.59"
02/19/1982,"113.22","114.58","112.33","113.22"
02/18/1982,"113.82","115.04","112.97","113.82"
02/17/1982,"113.69","115.09","112.97","113.69"
02/16/1982,"114.06","114.63","112.06","114.06"
02/12/1982,"114.38","115.39","114.38","114.38"
02/11/1982,"114.43","115.59","113.41","114.43"
02/10/1982,"114.66","115.62","113.45","114.66"
02/09/1982,"113.68","115.15","112.82","113.68"
02/08/1982,"114.63","117.04","114.20","114.63"
02/05/1982,"117.26","118.26","115.74","117.26"
02/04/1982,"116.42","117.49","114.88","116.42"
02/03/1982,"116.48","118.67","116.04","116.48"
02/02/1982,"118.01","119.15","116.91","118.01"
02/01/1982,"117.78","119.81","117.14","117.78"
01/29/1982,"120.40","121.38","118.64","120.40"
01/28/1982,"118.92","119.35","116.10","118.92"
01/27/1982,"115.74","116.60","114.38","115.74"
01/26/1982,"115.19","116.60","114.49","115.19"
01/25/1982,"115.41","115.93","113.63","115.41"
01/22/1982,"115.38","116.53","114.56","115.38"
01/21/1982,"115.75","116.92","114.60","115.75"
01/20/1982,"115.27","116.64","114.29","115.27"
01/19/1982,"115.97","118.15","115.52","115.97"
01/18/1982,"117.22","117.69","114.85","117.22"
01/15/1982,"116.33","117.14","115.10","116.33"
01/14/1982,"115.54","116.30","114.07","115.54"
01/13/1982,"114.88","116.85","115.30","114.88"
01/12/1982,"116.30","117.49","115.18","116.30"
01/11/1982,"116.78","120.34","116.47","116.78"
01/08/1982,"119.55","120.59","118.55","119.55"
01/07/1982,"118.93","119.86","117.70","118.93"
01/06/1982,"119.18","120.45","117.99","119.18"
01/05/1982,"120.05","122.61","119.57","120.05"
01/04/1982,"122.74","123.72","121.48","122.74"
12/31/1981,"122.55","123.42","121.57","122.55"
12/30/1981,"122.30","123.11","121.04","122.30"
12/29/1981,"121.67","122.90","121.12","121.67"
12/28/1981,"122.27","123.36","121.73","122.27"
12/24/1981,"122.54","122.37","122.24","122.54"
12/23/1981,"122.31","123.59","121.58","122.31"
12/22/1981,"122.88","124.17","122.19","122.88"
12/21/1981,"123.34","124.71","122.67","123.34"
12/18/1981,"124.00","124.87","122.56","124.00"
12/17/1981,"123.12","123.79","121.62","123.12"
12/16/1981,"122.42","123.66","121.73","122.42"
12/15/1981,"122.99","123.78","122.99","122.99"
12/14/1981,"122.78","124.37","122.17","122.78"
12/11/1981,"124.93","126.28","124.32","124.93"
12/10/1981,"125.71","126.54","124.60","125.71"
12/09/1981,"125.48","126.08","124.09","125.48"
12/08/1981,"124.82","125.75","123.52","124.82"
12/07/1981,"125.19","126.91","124.67","125.19"
12/04/1981,"126.26","127.32","125.12","126.26"
12/03/1981,"125.12","125.89","123.63","125.12"
12/02/1981,"124.69","126.45","124.16","124.69"
12/01/1981,"126.10","127.50","124.84","126.10"
11/30/1981,"126.35","126.97","124.18","126.35"
11/27/1981,"125.09","125.08","124.21","125.09"
11/25/1981,"124.05","125.29","123.07","124.05"
11/24/1981,"123.51","122.16","122.07","123.51"
11/23/1981,"121.60","123.11","120.76","121.60"
11/20/1981,"121.71","122.59","120.13","121.71"
11/19/1981,"120.71","121.67","119.42","120.71"
11/18/1981,"120.26","121.86","119.61","120.26"
11/17/1981,"121.15","121.78","119.50","121.15"
11/16/1981,"120.24","121.64","119.13","120.24"
11/13/1981,"121.67","123.61","121.05","121.67"
11/12/1981,"123.19","124.71","122.19","123.19"
11/11/1981,"122.92","123.62","121.51","122.92"
11/10/1981,"122.70","124.69","122.01","122.70"
11/09/1981,"123.29","124.13","121.59","123.29"
11/06/1981,"122.67","124.03","121.85","122.67"
11/05/1981,"123.54","125.80","122.96","123.54"
11/04/1981,"124.74","126.00","123.64","124.74"
11/03/1981,"124.80","125.52","123.14","124.80"
11/02/1981,"124.20","125.14","122.35","124.20"
10/30/1981,"121.89","122.53","118.43","121.89"
10/29/1981,"119.06","120.37","118.14","119.06"
10/28/1981,"119.45","120.96","118.39","119.45"
10/27/1981,"119.29","120.43","117.80","119.29"
10/26/1981,"118.16","119.00","116.81","118.16"
10/23/1981,"118.60","119.00","118.63","118.60"
10/22/1981,"119.64","120.78","118.48","119.64"
10/21/1981,"120.10","129.14","119.35","120.10"
10/20/1981,"120.28","121.29","118.78","120.28"
10/19/1981,"118.98","119.85","117.58","118.98"
10/16/1981,"119.19","120.46","118.38","119.19"
10/15/1981,"119.71","120.56","118.01","119.71"
